DTE,MB_TEMP,WD_HR,WIND_DIREC,WIND_SPEED,RINFLL,PM2.5
2018/1/2123:00,20.2,256,282,1.6,0,14
2018/1/2200:00,19.8,268,280,2.6,0,19
2018/1/2201:00,18.9,278,281,3.4,0,15
2018/1/2202:00,18,274,252,1.5,0,20
2018/1/2203:00,18,267,283,2.7,0,16
2018/1/2205:00,17.6,252,270,1.9,0,22
2018/1/2206:00,17.6,292,281,3.1,0,27
2018/1/2207:00,17.7,278,273,1.9,0,28
2018/1/2208:00,18.2,275,282,1.2,0,20
2018/1/2209:00,19.4,164,44,1.8,0,15
2018/1/2210:00,20,44,41,3.7,0,12
2018/1/2211:00,20.2,83,100,1.2,0,12
2018/1/2212:00,21.6,131,135,3.2,0,6
2018/1/2213:00,21.5,76,67,3.1,0,1
2018/1/2214:00,19.6,77,57,4.1,0,5
2018/1/2215:00,18.4,71,52,5,0,1
2018/1/2216:00,17.8,58,60,2.8,0,5
2018/1/2217:00,17.5,43,38,3.6,0,8
2018/1/2218:00,17.7,54,80,2.9,0,8
2018/1/2219:00,17.7,88,90,3.1,0,9
2018/1/2220:00,17.9,87,87,2.3,0,5
2018/1/2221:00,18,91,100,2.6,0,6
2018/1/2222:00,18.1,84,93,3.4,0,5
2018/1/2223:00,18.1,95,91,3.3,0,8
2018/1/2300:00,18.2,83,98,2,0,14
2018/1/2301:00,18.3,90,92,2.6,0,11
2018/1/2302:00,17.9,96,99,3.3,0,6
2018/1/2303:00,17.7,91,92,1.9,0,4
2018/1/2304:00,17.9,103,105,2.9,0,1
2018/1/2305:00,18.1,95,88,2.2,0,11
2018/1/2306:00,18.2,99,103,2.6,0,16
2018/1/2307:00,18.5,100,97,2.7,0,19
2018/1/2308:00,19.9,98,96,4.3,0,11
2018/1/2309:00,21.4,89,85,3,0,6
2018/1/2310:00,22.1,51,45,3.9,0,7
2018/1/2311:00,22.6,43,43,4.8,0,4
2018/1/2312:00,23.1,45,45,3.7,0,1
2018/1/2313:00,22.8,50,50,3.3,0,2
2018/1/2314:00,21.9,50,51,3.1,0,5
2018/1/2315:00,21.3,69,47,2.8,0,14
2018/1/2316:00,20.6,47,36,3,0,13
2018/1/2317:00,20.1,53,65,2.1,0,12
2018/1/2318:00,19.7,64,51,1.4,0,10
2018/1/2319:00,19.5,100,102,1.3,0,8
2018/1/2320:00,19.4,107,50,2.4,0,9
2018/1/2321:00,19.2,67,104,1.7,0,7
2018/1/2322:00,18.7,100,110,3,0,16
2018/1/2323:00,18.1,96,97,2.6,0,17
2018/1/2400:00,17.9,102,108,3.4,0,20
2018/1/2401:00,17.9,100,98,1.9,0,11
2018/1/2402:00,18.1,104,94,3.6,0,17
2018/1/2403:00,18,104,104,2.3,0,8
2018/1/2404:00,18,107,103,2.1,0,18
2018/1/2405:00,17.7,111,121,2.9,0,11
2018/1/2406:00,17.7,120,123,3,0,17
2018/1/2407:00,18,110,95,3.5,0,18
2018/1/2408:00,18.7,98,95,2.5,0,24
2018/1/2409:00,19.9,95,98,4.5,0,24
2018/1/2410:00,20.2,87,89,3.8,0,21
2018/1/2411:00,19.9,93,86,3.3,0,20
2018/1/2412:00,20.2,77,52,3.4,0,25
2018/1/2413:00,20,87,85,3.1,0,17
2018/1/2414:00,19,94,93,3.1,0,17
2018/1/2415:00,18.6,93,96,4.1,0,12
2018/1/2416:00,18,96,96,3.3,0,15
2018/1/2417:00,17.5,97,102,3.3,0,14
2018/1/2418:00,17.4,102,102,3.5,0,13
2018/1/2419:00,17.3,100,103,4.5,0,9
2018/1/2420:00,17.4,99,100,3.1,0,8
2018/1/2421:00,17.3,100,98,3.7,0,14
2018/1/2422:00,17,99,98,3.8,0,17
2018/1/2423:00,16.9,98,90,3.2,0,10
2018/1/2500:00,16.9,98,97,3.9,0,2
2018/1/2501:00,16.7,106,123,2.9,0,1
2018/1/2502:00,16.8,102,97,4.5,0,3
2018/1/2503:00,16.8,96,96,4.1,0,6
2018/1/2504:00,16.6,98,100,4,0,6
2018/1/2505:00,16.6,102,101,3.4,0,4
2018/1/2506:00,16.8,98,96,4,0,1
2018/1/2507:00,17.1,99,100,2.8,0,1
2018/1/2508:00,17.9,102,98,3.4,0,6
2018/1/2509:00,18.8,95,97,4.8,0,10
2018/1/2510:00,19.3,92,86,4.8,0,7
2018/1/2511:00,19.8,91,85,3.6,0,7
2018/1/2512:00,19.9,93,85,3.9,0,7
2018/1/2513:00,20.2,87,87,3.5,0,10
2018/1/2514:00,20,87,82,4.2,0,1
2018/1/2515:00,19.5,87,94,2.8,0,1
2018/1/2516:00,19.2,96,96,3.4,0,1
2018/1/2517:00,19.1,91,92,2.3,0,1
2018/1/2518:00,19.3,95,99,2.9,0,4
2018/1/2519:00,19.3,102,113,2.3,0,4
2018/1/2520:00,19.2,117,105,3.2,0,4
2018/1/2521:00,19.2,112,113,3.5,0,1
2018/1/2522:00,19.1,102,109,3.5,0,1
2018/1/2523:00,18.9,105,103,3.4,0,1
2018/1/2600:00,19,104,99,3.9,0,1
2018/1/2601:00,19.1,104,104,3.2,0,1
2018/1/2602:00,19,115,119,2.8,0,1
2018/1/2603:00,18.7,107,233,0.6,0,1
2018/1/2604:00,18.4,277,237,1.3,0,3
2018/1/2605:00,18.4,143,43,1.4,0,9
2018/1/2606:00,18.4,185,88,2.3,0,5
2018/1/2607:00,18.6,78,39,1.6,0,5
2018/1/2608:00,18.8,47,18,3,0,1
2018/1/2609:00,18.9,57,56,3.6,0,1
2018/1/2610:00,18.6,59,40,4.2,0,1
2018/1/2611:00,18.8,67,60,2.4,0,1
2018/1/2612:00,19.2,93,98,5.3,0,1
2018/1/2613:00,19.1,82,95,3.9,0,1
2018/1/2614:00,18.2,89,87,3.5,0,2
2018/1/2615:00,17.3,79,53,3.6,0,2
2018/1/2616:00,16.6,89,102,4.2,0,3
2018/1/2617:00,15.8,102,101,4,0,1
2018/1/2618:00,15.5,102,94,3.4,0,2
2018/1/2619:00,15.4,102,112,3.6,0,1
2018/1/2620:00,15.2,103,103,3.8,0,1
2018/1/2621:00,15.3,102,104,3.9,0,1
2018/1/2622:00,15.2,99,104,3.2,0,8
2018/1/2623:00,15.1,96,97,3.9,0,8
2018/1/2700:00,15.2,100,99,3.3,0,4
2018/1/2701:00,15.2,102,99,3.3,0,1
2018/1/2702:00,15.4,102,101,3.8,0,3
2018/1/2703:00,15.5,100,99,3.9,0,1
2018/1/2704:00,15.7,97,100,3.1,0,1
2018/1/2705:00,15.8,103,102,2.7,0,1
2018/1/2706:00,16,104,94,3.7,0,5
2018/1/2707:00,16.2,100,100,4.7,0,9
2018/1/2708:00,16.8,102,104,4.2,0,8
2018/1/2709:00,17.5,96,91,4.3,0,7
2018/1/2710:00,19,93,90,4.4,0,12
2018/1/2711:00,20.2,90,87,3.4,0,8
2018/1/2712:00,21.2,78,62,3.8,0,7
2018/1/2713:00,21.6,65,58,3.1,0,1
2018/1/2714:00,21.4,75,91,2.4,0,4
2018/1/2715:00,21.2,67,66,2.5,0,1
2018/1/2716:00,20.5,77,85,2.8,0,2
2018/1/2717:00,20.1,95,97,2.6,0,1
2018/1/2718:00,19.9,87,83,2.2,0,2
2018/1/2719:00,20.2,83,69,0.9,0,1
2018/1/2720:00,20.4,71,65,1.7,0,1
2018/1/2721:00,20.7,61,83,1.3,0,1
2018/1/2722:00,21,70,34,1.3,0,5
2018/1/2723:00,20.9,76,169,0.6,0,4
2018/1/2800:00,20,175,126,0.8,0,12
2018/1/2801:00,19.4,113,102,1.3,0,14
2018/1/2802:00,18.6,96,117,0.6,0,14
2018/1/2803:00,17.9,108,230,0.6,0,7
2018/1/2804:00,17.4,283,229,0.5,0,5
2018/1/2805:00,17.8,258,275,0.8,0,11
2018/1/2806:00,17.8,290,297,2.6,0,22
2018/1/2807:00,17,285,281,3.2,0,19
2018/1/2808:00,16.8,291,291,3.7,0,14
2018/1/2809:00,17.2,287,277,2.9,0,2
2018/1/2810:00,18.3,299,279,1.6,0,1
2018/1/2814:00,17.2,192,248,2.2,0,4
2018/1/2820:00,14.5,238,224,1.4,0,3
2018/1/2821:00,14.9,246,250,2.3,0,2
2018/1/2822:00,15.1,205,156,1.9,0,2
2018/1/2823:00,15.3,140,88,1.7,0,1
2018/1/2900:00,15.5,93,18,0.9,0,5
2018/1/2901:00,15.1,88,37,2.3,0,8
2018/1/2902:00,14.7,102,88,2.1,0,7
2018/1/2903:00,14.6,125,152,1.9,0,1
2018/1/2904:00,14.4,149,105,1.3,0,2
2018/1/2905:00,14.4,89,90,2,0,1
2018/1/2906:00,14.3,108,38,2,0,5
2018/1/2910:00,13.9,42,46,4.2,0,7
2018/1/2911:00,13.8,52,72,1.7,0,1
2018/1/2913:00,13.5,50,48,3.7,0,1
2018/1/2914:00,13.4,56,43,5,0,12
2018/1/2915:00,13.2,43,48,2.7,0,12
2018/1/2918:00,12.7,47,50,4.4,0,6
2018/1/2920:00,12.7,84,97,3.1,0,1
2018/1/2923:00,12.7,89,62,1.1,0,4
2018/1/3001:00,13,99,164,0.9,0,5
2018/1/3004:00,13,71,43,3.1,0,4
2018/1/3005:00,13.2,74,48,2.6,0,1
2018/1/3006:00,13,108,178,1.2,0,1
2018/1/3008:00,13.4,101,112,3.2,0,1
2018/1/3009:00,14.1,99,95,3.4,0,1
2018/1/3010:00,15,104,107,2.7,0,2
2018/1/3011:00,15,103,101,2.1,0,1
2018/1/3012:00,15,103,104,3,0,9
2018/1/3013:00,14.9,110,104,3.2,0,5
2018/1/3014:00,15.4,101,107,3.6,0,9
2018/1/3015:00,15.2,100,104,3,0,8
2018/1/3016:00,15.3,104,106,2.8,0,7
2018/1/3017:00,15,108,110,2.5,0,1
2018/1/3019:00,15.2,100,103,3.3,0,5
2018/1/3020:00,15.2,105,104,3.1,0,13
2018/1/3022:00,15.2,101,109,2.4,0,9
2018/1/3108:00,16,125,122,2.9,0,5
2018/1/3109:00,16.5,112,123,2.6,0,4
2018/1/3111:00,18.1,100,106,3.6,0,4
2018/1/3112:00,18.2,108,126,2.2,0,4
2018/1/3113:00,18.3,53,316,1.6,0,2
2018/1/3114:00,17.6,300,299,1,0,4
2018/1/3115:00,17,267,338,1.4,0,6
2018/2/105:00,11.3,211,221,1,0,8
2018/2/106:00,11.3,173,218,1.4,0,5
2018/2/107:00,11.3,233,252,2.1,0,18
2018/2/108:00,11.5,228,239,1.3,0,29
2018/2/109:00,11.7,232,230,3.1,0,42
2018/2/110:00,11.9,236,242,2.1,0,43
2018/2/111:00,12.1,248,248,2,0,49
2018/2/112:00,12.3,251,260,1.3,0,49
2018/2/113:00,12.6,254,106,1.5,0,47
2018/2/114:00,13.1,185,315,0.9,0,46
2018/2/115:00,12.9,298,122,0.9,0,39
2018/2/116:00,13.5,131,103,1.2,0,33
2018/2/117:00,13.8,113,117,2.9,0,23
2018/2/118:00,14,103,111,1.9,0,21
2018/2/119:00,14.3,136,131,1.4,0,54
2018/2/120:00,14.5,79,109,1.4,0,58
2018/2/121:00,14.4,97,76,0.7,0,47
2018/2/122:00,14.4,73,65,1.6,0,8
2018/2/123:00,14.1,144,217,1.1,0,1
2018/2/201:00,13.2,269,267,1.1,0,7
2018/2/202:00,13.2,115,113,3.3,0,13
2018/2/203:00,13.6,123,130,1.5,0,9
2018/2/204:00,14.1,130,146,1.8,0,17
2018/2/205:00,13.8,287,314,1.4,0,11
2018/2/208:00,13.5,237,228,1.1,0,13
2018/2/209:00,14,233,226,0.8,0,8
2018/2/210:00,15.2,46,37,3.4,0,17
2018/2/211:00,15.8,60,45,1,0,16
2018/2/212:00,15.8,72,81,1.4,0,11
2018/2/213:00,15.2,67,150,1.6,0,6
2018/2/214:00,14.7,43,51,2.2,0,2
2018/2/215:00,14.7,51,30,2.6,0,5
2018/2/216:00,14.2,163,160,1.5,0,22
2018/2/217:00,13.8,49,126,1.2,0,29
2018/2/218:00,13.7,31,25,3,0,32
2018/2/219:00,13.3,74,36,2,0,24
2018/2/220:00,13.4,53,61,2.1,0,27
2018/2/221:00,13.2,76,153,1,0,29
2018/2/222:00,13,32,23,3.8,0,24
2018/2/223:00,12.6,35,72,1.8,0,25
2018/2/300:00,12.1,86,24,1.3,0,27
2018/2/305:00,11.8,59,70,1.7,0,51
2018/2/306:00,11.9,47,35,2.5,0,69
2018/2/307:00,11.8,42,41,2,0,64
2018/2/318:00,10.8,37,37,2.7,0,40
2018/2/319:00,10.3,47,69,2.4,0,24
2018/2/320:00,9.9,63,47,1.6,0,24
2018/2/322:00,10,49,256,0.9,0,32
2018/2/404:00,9.5,202,185,1.1,0,39
2018/2/516:00,8.6,200,225,1.4,0,15
2018/2/518:00,8.8,180,141,1.4,0,17
2018/2/519:00,9,178,166,1.3,0,31
2018/2/520:00,9.2,186,226,0.9,0,24
2018/2/521:00,9.3,233,240,1.4,0,27
2018/2/522:00,9.5,203,173,1.6,0,26
2018/2/523:00,10,171,162,1.5,0,28
2018/2/600:00,10.2,164,40,1.1,0,32
2018/2/601:00,10.5,142,173,0.6,0,26
2018/2/602:00,10.6,64,35,2.2,0,23
2018/2/603:00,10.7,105,187,0.8,0,14
2018/2/604:00,10.6,85,35,2,0,15
2018/2/605:00,10.6,104,66,2.1,0,24
2018/2/606:00,10.8,58,41,2.4,0,30
2018/2/607:00,10.8,45,38,4,0,24
2018/2/608:00,11,54,50,3.2,0,24
2018/2/609:00,11.5,60,61,2.9,0,19
2018/2/610:00,11.7,46,62,3.4,0,22
2018/2/611:00,11.9,75,60,2.6,0,19
2018/2/612:00,11.9,47,41,3.8,0,22
2018/2/613:00,11.8,50,62,2.9,0,12
2018/2/614:00,11.8,58,79,2.1,0,20
2018/2/615:00,11.9,65,48,2.2,0,27
2018/2/616:00,11.7,57,50,2.9,0,31
2018/2/617:00,11.7,78,77,2.5,0,24
2018/2/618:00,11.8,90,98,2.4,0,28
2018/2/619:00,12,91,84,2.4,0,20
2018/2/620:00,12.1,91,74,2.5,0,29
2018/2/621:00,12.4,79,83,2.2,0,22
2018/2/622:00,12.5,69,69,2.2,0,32
2018/2/623:00,12.5,99,110,2.4,0,27
2018/2/700:00,12.6,99,95,2.9,0,30
2018/2/701:00,12.7,100,89,2.1,0,20
2018/2/702:00,12.4,113,104,3.2,0,16
2018/2/703:00,12.3,105,98,3.3,0,19
2018/2/704:00,12.9,67,53,2.9,0,21
2018/2/705:00,13.4,82,92,2.7,0,26
2018/2/706:00,13.2,102,111,2.4,0,17
2018/2/707:00,13,99,91,2.7,0,15
2018/2/708:00,12.7,102,111,2.7,0,10
2018/2/713:00,12.4,112,111,3.1,0,10
2018/2/806:00,11.4,112,117,3,0,2
2018/2/807:00,12,106,111,2.8,0,2
2018/2/808:00,12.8,118,101,2.7,0,17
2018/2/809:00,13.7,117,108,2.5,0,11
2018/2/810:00,15,100,101,3.5,0,18
2018/2/811:00,15.5,94,95,3.1,0,3
2018/2/813:00,15.8,93,96,2.8,0,5
2018/2/814:00,15.6,97,105,4.2,0,22
2018/2/815:00,15.1,102,102,3.3,0,708
2018/2/816:00,14.6,106,115,3.4,0,18
2018/2/817:00,14.4,104,103,4.7,0,29
2018/2/818:00,14.2,102,104,4.2,0,23
2018/2/819:00,14.2,101,98,4.6,0,24
2018/2/820:00,14.5,98,98,4.4,0,20
2018/2/821:00,14.8,96,96,4.6,0,9
2018/2/822:00,14.8,96,97,4.2,0,18
2018/2/823:00,15.1,97,104,3.1,0,9
2018/2/900:00,15.4,92,82,1.8,0,9
2018/2/901:00,16,84,88,1.9,0,1
2018/2/902:00,16.2,80,88,2.5,0,7
2018/2/907:00,15.1,177,141,0.4,0,6
2018/2/909:00,16.3,152,139,2.1,0,13
2018/2/910:00,17.6,104,173,0.9,0,9
2018/2/911:00,18.7,194,289,1.5,0,3
2018/2/912:00,19.2,284,288,1.8,0,4
2018/2/913:00,18.8,283,278,1.8,0,5
2018/2/914:00,18.6,271,271,0.6,0,6
2018/2/915:00,18.4,294,299,1.9,0,4
2018/2/922:00,17.3,220,219,0.5,0,37
2018/2/923:00,17.2,233,281,1,0,35
2018/2/1001:00,17.1,158,157,0.9,0,30
2018/2/1002:00,17.1,120,118,1.2,0,24
2018/2/1003:00,17.1,291,306,1.4,0,21
2018/2/1004:00,17,287,230,0.9,0,16
2018/2/1006:00,17.1,90,82,0.6,0,29
2018/2/1007:00,17.2,108,142,0.4,0,30
2018/2/1008:00,17.3,169,148,0.4,0,25
2018/2/1009:00,17.6,188,220,1,0,13
2018/2/1010:00,17.7,208,165,0.4,0,19
2018/2/1011:00,18,187,209,0.7,0,18
2018/2/1012:00,18.1,261,271,1,0,32
2018/2/1017:00,16.3,227,256,1.7,0,11
2018/2/1019:00,15.9,236,246,1.3,0,3
2018/2/1020:00,15.9,220,280,1.2,0,19
2018/2/1021:00,15.9,191,274,1,0,14
2018/2/1022:00,15.5,57,49,1.7,0,16
2018/2/1023:00,15,46,18,2.5,0,6
2018/2/1107:00,12.4,215,149,1.1,0,12
2018/2/1108:00,13,70,287,1.1,0,9
2018/2/1109:00,12.8,242,246,0.9,0,9
2018/2/1110:00,13.4,245,267,1.1,0,3
2018/2/1112:00,14.5,66,39,3.3,0,28
2018/2/1113:00,14.5,39,36,2.3,0,33
2018/2/1114:00,14.4,38,45,1.7,0,28
2018/2/1115:00,14.4,53,80,1.7,0,20
2018/2/1116:00,14.4,48,73,2,0,24
2018/2/1117:00,14.1,51,64,2.2,0,22
2018/2/1118:00,13.9,48,54,3.5,0,22
2018/2/1119:00,13.4,51,55,3,0,17
2018/2/1120:00,13.3,64,67,2.6,0,17
2018/2/1121:00,13.5,65,74,2.6,0,12
2018/2/1122:00,13.7,57,45,2.1,0,15
2018/2/1123:00,13.8,75,95,2.3,0,15
2018/2/1200:00,13.8,86,75,2.3,0,30
2018/2/1201:00,13.9,53,52,2.7,0,25
2018/2/1202:00,14,61,60,1.6,0,23
2018/2/1203:00,14,63,53,2.5,0,15
2018/2/1204:00,13.9,63,68,2.4,0,17
2018/2/1205:00,13.5,98,103,2.3,0,18
2018/2/1206:00,13.1,103,114,1.4,0,13
2018/2/1207:00,13.5,107,106,2,0,17
2018/2/1208:00,15.1,79,53,2.9,0,10
2018/2/1209:00,16.4,67,78,3,0,21
2018/2/1210:00,17.2,66,64,2.6,0,12
2018/2/1211:00,18,81,73,3.2,0,29
2018/2/1212:00,18.3,79,61,3.4,0,16
2018/2/1213:00,18.2,66,45,4.3,0,32
2018/2/1214:00,17.4,43,72,2.8,0,24
2018/2/1215:00,16.8,54,58,2.8,0,34
2018/2/1216:00,15.9,57,60,2.8,0,29
2018/2/1217:00,14.9,55,48,2.9,0,29
2018/2/1218:00,14.4,52,49,2.7,0,32
2018/2/1219:00,14.2,46,66,1.8,0,25
2018/2/1220:00,14,65,97,1.3,0,24
2018/2/1221:00,13.7,105,96,1.6,0,19
2018/2/1222:00,13.7,108,116,2,0,18
2018/2/1223:00,13.7,113,114,1.7,0,19
2018/2/1300:00,14.2,99,96,2.4,0,11
2018/2/1301:00,14.4,95,96,3.2,0,19
2018/2/1302:00,14.4,91,93,1.5,0,13
2018/2/1303:00,14.2,98,99,2.7,0,24
2018/2/1304:00,14.3,92,92,2.6,0,15
2018/2/1305:00,14.6,96,95,3.1,0,21
2018/2/1306:00,14.8,95,94,3,0,11
2018/2/1307:00,15.2,93,97,3.6,0,15
2018/2/1308:00,16.4,93,92,4.5,0,17
2018/2/1309:00,17.1,91,92,3.4,0,31
2018/2/1310:00,18.5,91,92,4.6,0,25
2018/2/1311:00,19.2,100,105,4.2,0,26
2018/2/1312:00,19.8,98,90,3.8,0,18
2018/2/1313:00,19.8,102,93,3.5,0,27
2018/2/1314:00,18.6,91,85,2.4,0,19
2018/2/1315:00,18,85,82,2.3,0,17
2018/2/1316:00,17.7,84,90,1.9,0,14
2018/2/1317:00,17.4,76,74,2.2,0,26
2018/2/1318:00,17.2,76,77,1.9,0,33
2018/2/1319:00,17,84,85,1.6,0,29
2018/2/1320:00,16.9,88,96,2.6,0,22
2018/2/1321:00,17,79,70,2,0,15
2018/2/1322:00,17.1,78,74,2.2,0,21
2018/2/1323:00,17.3,63,63,1.9,0,11
2018/2/1400:00,17.3,72,58,1.2,0,17
2018/2/1401:00,17.2,54,40,1.6,0,8
2018/2/1402:00,15.9,90,110,1.9,0,24
2018/2/1403:00,14.5,103,99,1.4,0,19
2018/2/1404:00,13.8,107,131,0.9,0,25
2018/2/1405:00,13.5,81,80,1,0,15
2018/2/1406:00,13.1,102,104,1.5,0,8
2018/2/1407:00,13.8,101,106,0.8,0,7
2018/2/1408:00,16.1,126,139,1.1,0,16
2018/2/1409:00,18.1,222,217,1,0,25
2018/2/1411:00,23.4,209,289,1.4,0,23
2018/2/1412:00,24.4,282,274,2.3,0,12
2018/2/1413:00,24.1,282,281,2.7,0,30
2018/2/1414:00,24.1,288,296,2.7,0,16
2018/2/1415:00,23.2,283,288,2.6,0,22
2018/2/1416:00,21.1,284,223,1.2,0,20
2018/2/1417:00,19.5,236,232,0.6,0,26
2018/2/1418:00,18.9,187,170,0.9,0,36
2018/2/1419:00,18.7,107,108,1.3,0,29
2018/2/1420:00,18.3,102,332,1,0,29
2018/2/1421:00,17.7,85,61,1.1,0,22
2018/2/1422:00,17.5,104,219,0.4,0,27
2018/2/1423:00,16.8,165,164,0.4,0,21
2018/2/1500:00,17,90,41,0.9,0,12
2018/2/1501:00,16.7,76,86,0.9,0,8
2018/2/1502:00,16.1,50,271,0.6,0,14
2018/2/1503:00,15.6,113,109,0.7,0,23
2018/2/1504:00,15.6,103,81,0.7,0,21
2018/2/1505:00,15.6,126,130,0.7,0,22
2018/2/1506:00,15.1,275,325,0.5,0,16
2018/2/1507:00,15.5,287,278,0.9,0,25
2018/2/1508:00,17.9,226,166,1,0,18
2018/2/1509:00,21.6,239,278,1.1,0,39
2018/2/1510:00,26.1,222,136,1.4,0,29
2018/2/1511:00,29.4,116,90,1.6,0,30
2018/2/1512:00,30,265,306,4.1,0,4
2018/2/1513:00,27.9,294,297,4.4,0,18
2018/2/1514:00,26.1,292,286,4,0,14
2018/2/1515:00,25.1,295,292,3,0,21
2018/2/1516:00,23.8,264,260,1.9,0,11
2018/2/1517:00,22.2,243,193,0.8,0,26
2018/2/1518:00,21.3,183,190,0.6,0,30
2018/2/1519:00,21.1,214,262,1.2,0,32
2018/2/1520:00,20.9,249,182,0.8,0,39
2018/2/1521:00,20.7,166,98,0.8,0,47
2018/2/1522:00,20.2,107,102,0.8,0,56
2018/2/1523:00,20,116,112,0.8,0,44
2018/2/1600:00,19.5,110,124,0.9,0,32
2018/2/1601:00,19,108,116,1.2,0,28
2018/2/1602:00,18.8,108,151,0.6,0,28
2018/2/1603:00,18.3,292,287,2.3,0,42
2018/2/1604:00,18,273,276,1.3,0,40
2018/2/1605:00,17.7,222,192,0.6,0,39
2018/2/1606:00,17.7,190,209,0.6,0,36
2018/2/1607:00,18,273,275,0.7,0,30
2018/2/1608:00,19.1,271,276,1.3,0,43
2018/2/1609:00,20.4,236,243,1.1,0,56
2018/2/1610:00,22.9,238,261,1.5,0,56
2018/2/1611:00,22.6,290,281,4.4,0,47
2018/2/1612:00,20.6,284,283,3.7,0,20
2018/2/1613:00,19,270,257,3.2,0,34
2018/2/1614:00,17.8,237,228,1,0,27
2018/2/1615:00,18,242,242,1.4,0,34
2018/2/1616:00,18.7,250,238,0.9,0,29
2018/2/1617:00,19.2,263,282,1.2,0,33
2018/2/1618:00,19,282,285,1.3,0,58
2018/2/1619:00,18.3,260,187,0.7,0,46
2018/2/1620:00,18.3,211,240,1.5,0,53
2018/2/1621:00,18.6,217,224,0.6,0,33
2018/2/1622:00,18.7,216,263,1.8,0,44
2018/2/1623:00,18.9,268,234,1.5,0,32
2018/2/1700:00,19,5,85,1.1,0,19
2018/2/1701:00,19.3,109,54,1.8,0,17
2018/2/1702:00,18.7,43,43,3.3,0,10
2018/2/1703:00,18.3,46,72,2,0,11
2018/2/1704:00,18.1,85,110,1.3,0,7
2018/2/1705:00,17.9,98,100,2.9,0,10
2018/2/1706:00,17.3,100,104,2.7,0,20
2018/2/1707:00,16.7,105,105,2.9,0,12
2018/2/1708:00,17,85,50,3.7,0,19
2018/2/1709:00,17.9,72,95,3.7,0,15
2018/2/1710:00,18.8,88,91,3.1,0,13
2018/2/1711:00,19.5,89,98,5.5,0,9
2018/2/1712:00,19.6,96,97,4.1,0,1
2018/2/1713:00,20,95,94,4.1,0,15
2018/2/1714:00,19.4,93,84,3.8,0,10
2018/2/1715:00,19.3,92,87,5.1,0,11
2018/2/1716:00,19.3,94,95,4.1,0,6
2018/2/1717:00,18.8,93,98,3.3,0,14
2018/2/1718:00,18.6,84,82,3.5,0,25
2018/2/1719:00,19.1,75,72,2.5,0,21
2018/2/1720:00,19.5,82,87,2.6,0,21
2018/2/1721:00,19.8,87,92,2.2,0,10
2018/2/1722:00,20.1,78,62,2.1,0,6
2018/2/1723:00,20.3,70,65,2,0,10
2018/2/1800:00,20.6,72,70,1.8,0,9
2018/2/1801:00,20.8,69,81,1.4,0,21
2018/2/1802:00,21.1,75,91,1,0,9
2018/2/1803:00,20.9,107,175,1.3,0,14
2018/2/1804:00,19.8,175,189,0.8,0,3
2018/2/1805:00,19,205,215,0.5,0,13
2018/2/1806:00,18.5,150,124,0.6,0,8
2018/2/1807:00,18.5,197,175,0.7,0,9
2018/2/1808:00,19.5,210,206,1.1,0,9
2018/2/1809:00,21.2,223,247,1.3,0,15
2018/2/1810:00,22.5,183,161,1,0,21
2018/2/1811:00,24.1,225,229,2.4,0,22
2018/2/1812:00,26.3,207,227,1.8,0,37
2018/2/1813:00,25.9,286,291,4.8,0,26
2018/2/1814:00,22,282,269,3.3,0,32
2018/2/1815:00,21.1,265,253,2.1,0,14
2018/2/1816:00,20.7,266,260,1.2,0,29
2018/2/1817:00,20.1,254,240,1,0,27
2018/2/1818:00,19,233,193,0.6,0,40
2018/2/1819:00,18.9,294,246,0.6,0,47
2018/2/1820:00,19.1,239,204,0.4,0,49
2018/2/1821:00,19,292,315,0.9,0,52
2018/2/1822:00,18.8,265,241,0.6,0,41
2018/2/1823:00,17.9,244,247,0.5,0,48
2018/2/1900:00,17.7,205,225,0.6,0,52
2018/2/1901:00,17.5,268,245,0.4,0,54
2018/2/1902:00,17.2,242,251,0.6,0,57
2018/2/1903:00,16.8,262,275,0.8,0,53
2018/2/1904:00,16.4,113,114,1.1,0,46
2018/2/1905:00,17.2,90,57,0.7,0,27
2018/2/1906:00,16.8,296,229,0.4,0,10
2018/2/1907:00,17.6,108,64,0.6,0,19
2018/2/1908:00,20,192,156,1,0,18
2018/2/1909:00,21.9,217,222,1.5,0,28
2018/2/1910:00,23.7,202,203,1.2,0,15
2018/2/1911:00,25.9,270,270,1.9,0,23
2018/2/1912:00,27,301,273,1.5,0,10
2018/2/1913:00,28,303,301,4.3,0,19
2018/2/1914:00,24.6,287,258,2.2,0,19
2018/2/1915:00,26.1,265,259,2.2,0,27
2018/2/1916:00,25.9,266,279,2.2,0,31
2018/2/1917:00,24.5,292,283,2.7,0,20
2018/2/1918:00,22.8,246,219,1.7,0,22
2018/2/1919:00,21.7,200,81,0.6,0,22
2018/2/1920:00,20.9,222,274,0.8,0,28
2018/2/1921:00,19.2,261,229,0.8,0,42
2018/2/1922:00,18.2,226,231,0.9,0,52
2018/2/1923:00,17.4,247,247,1.3,0,52
2018/2/2000:00,16.9,198,212,0.6,0,41
2018/2/2001:00,17.1,269,280,0.7,0,33
2018/2/2002:00,17.5,292,290,1.2,0,31
2018/2/2003:00,17.7,294,305,1,0,31
2018/2/2004:00,17.8,293,278,0.9,0,35
2018/2/2005:00,17.8,283,287,0.8,0,31
2018/2/2006:00,17.8,260,241,0.9,0,24
