DTE,MB_TEMP,WD_HR,WIND_DIREC,WIND_SPEED,RINFLL,PM2.5
2017/1/617:00,22,280,298,0.9,0,21
2017/1/618:00,22,249,186,0.8,0,25
2017/1/619:00,22,338,128,1.4,0,20
2017/1/621:00,22,128,114,1.5,0,15
2017/1/622:00,23,133,178,1.8,0,10
2017/1/623:00,22,149,72,0.9,0,10
2017/1/700:00,22,296,354,0.6,0,9
2017/1/701:00,22,303,316,0.9,0,8
2017/1/703:00,21,246,94,0.4,0,3
2017/1/704:00,21,261,279,1,0,6
2017/1/705:00,21,106,122,1.3,0,11
2017/1/706:00,21,138,158,1.2,0,11
2017/1/707:00,21,139,133,2,0,12
2017/1/708:00,22,100,202,0.5,0,6
2017/1/709:00,23,284,293,2.1,0,6
2017/1/710:00,24,315,322,2,0,12
2017/1/711:00,25,276,246,1.3,0,20
2017/1/712:00,25,300,289,1.8,0,22
2017/1/713:00,26,300,313,3.5,0,25
2017/1/714:00,25,314,314,2.9,0,29
2017/1/715:00,23,310,309,3.4,0,31
2017/1/716:00,22,309,307,1.9,0,27
2017/1/717:00,21,316,313,1.9,0,24
2017/1/718:00,21,309,309,1.4,0,26
2017/1/719:00,21,307,319,1.1,0,22
2017/1/720:00,21,320,299,0.9,0,28
2017/1/721:00,21,324,325,0.8,0,26
2017/1/722:00,21,279,191,0.4,0,39
2017/1/723:00,21,207,273,0.4,0,33
2017/1/800:00,21,193,138,0.4,0,36
2017/1/801:00,21,281,321,0.4,0,25
2017/1/802:00,21,227,286,0.4,0,16
2017/1/803:00,21,235,275,0.4,0,18
2017/1/804:00,20,285,267,0.4,0,30
2017/1/805:00,20,291,291,0.7,0,47
2017/1/806:00,20,184,121,1.6,0,37
2017/1/807:00,20,125,110,1.2,0,33
2017/1/808:00,21,136,198,1,0,31
2017/1/809:00,21,153,166,1.8,0,33
2017/1/810:00,22,218,278,1.3,0,26
2017/1/811:00,22,245,112,1.4,0,19
2017/1/812:00,21,135,133,1,0,12
2017/1/813:00,21,114,130,2.4,0,10
2017/1/814:00,21,119,114,3.2,0,2
2017/1/815:00,21,120,118,2.5,0,5
2017/1/816:00,20,116,107,2.5,0,3
2017/1/817:00,20,116,112,1.6,0,3
2017/1/818:00,20,117,125,2.2,0,9
2017/1/819:00,20,118,108,2.1,0,8
2017/1/820:00,19,130,118,2.5,0,10
2017/1/821:00,19,120,126,1.4,0,3
2017/1/822:00,19,122,123,1.3,0,6
2017/1/823:00,19,126,137,2.3,0,4
2017/1/900:00,19,126,123,1.8,0,6
2017/1/901:00,19,120,99,1.1,0,13
2017/1/902:00,19,100,117,1.6,0,15
2017/1/903:00,19,81,99,1.2,0,21
2017/1/904:00,19,125,103,1.1,0,16
2017/1/905:00,18,137,133,1.8,0,18
2017/1/906:00,18,114,113,1.3,0,13
2017/1/907:00,18,114,106,1.2,0,16
2017/1/908:00,18,107,106,2.5,0,17
2017/1/909:00,18,114,112,3.1,0,19
2017/1/910:00,19,109,120,3.2,0,-3
2017/1/911:00,19,105,109,2.8,0,5
2017/1/912:00,18,116,119,3.4,0,12
2017/1/913:00,18,112,114,2.4,0,12
2017/1/914:00,18,109,112,2.7,0,22
2017/1/915:00,18,116,112,2.9,0,22
2017/1/916:00,17,117,125,1.6,0,30
2017/1/917:00,17,119,124,3.3,0,28
2017/1/918:00,17,115,110,3.1,0,28
2017/1/919:00,17,102,112,2.3,0,29
2017/1/920:00,17,114,101,2.4,0,25
2017/1/921:00,17,93,96,2.5,0,27
2017/1/922:00,17,102,119,2.9,0,28
2017/1/923:00,17,122,127,2.6,0,30
2017/1/1000:00,17,115,118,2.9,0,27
2017/1/1001:00,17,127,125,3.2,0,23
2017/1/1002:00,17,122,117,3,0,20
2017/1/1003:00,17,121,107,2.4,0,23
2017/1/1004:00,17,122,121,2,0,24
2017/1/1005:00,17,125,122,2.5,0,27
2017/1/1006:00,17,114,110,2.2,0,24
2017/1/1007:00,18,103,84,1.1,0,25
2017/1/1008:00,19,106,110,2.6,0,23
2017/1/1009:00,19,102,95,2,0,25
2017/1/1010:00,20,106,118,3.1,0,19
2017/1/1011:00,20,111,107,3.4,0,22
2017/1/1012:00,20,112,110,3.4,0,35
2017/1/1013:00,21,110,109,2.7,0,30
2017/1/1014:00,21,108,108,3.4,0,35
2017/1/1015:00,20,108,104,2.7,0,33
2017/1/1016:00,20,97,102,2.3,0,36
2017/1/1017:00,19,110,110,2.6,0,28
2017/1/1018:00,19,102,107,1.9,0,29
2017/1/1019:00,19,117,124,2.8,0,26
2017/1/1020:00,19,116,115,3,0,28
2017/1/1021:00,19,120,122,2.2,0,28
2017/1/1022:00,19,122,122,2.8,0,33
2017/1/1023:00,19,119,118,2.9,0,35
2017/1/1100:00,19,121,118,3.3,0,39
2017/1/1101:00,19,124,122,3.1,0,39
2017/1/1102:00,19,122,119,3.6,0,39
2017/1/1103:00,19,119,114,2.7,0,36
2017/1/1104:00,19,116,108,2.9,0,33
2017/1/1105:00,19,113,115,3,0,31
2017/1/1106:00,19,116,122,3.5,0,29
2017/1/1107:00,19,112,115,2.8,0,26
2017/1/1108:00,20,113,118,4.1,0,23
2017/1/1109:00,20,120,117,3.7,0,26
2017/1/1110:00,20,118,121,4.6,0,26
2017/1/1111:00,21,112,105,4.1,0,26
2017/1/1112:00,21,114,115,3.8,0,23
2017/1/1113:00,21,109,112,4.2,0,19
2017/1/1114:00,21,114,112,3.7,0,19
2017/1/1115:00,21,114,113,2.6,0,14
2017/1/1116:00,20,112,106,3.8,0,22
2017/1/1117:00,20,110,109,3.8,0,23
2017/1/1118:00,20,112,115,3.6,0,26
2017/1/1119:00,20,116,124,2.8,0,23
2017/1/1120:00,20,113,112,3.1,0,18
2017/1/1121:00,20,112,116,3.2,0,15
2017/1/1122:00,20,107,113,2.7,0,9
2017/1/1123:00,20,115,106,2.7,0,9
2017/1/1200:00,20,109,103,2,0,10
2017/1/1201:00,20,107,122,2.2,0,16
2017/1/1202:00,20,114,110,1.1,0,16
2017/1/1203:00,20,120,110,1.1,0,17
2017/1/1204:00,20,62,326,1.6,0,15
2017/1/1205:00,20,252,199,0.8,0,17
2017/1/1206:00,19,186,306,1.3,0,17
2017/1/1207:00,20,120,114,2.6,0,13
2017/1/1208:00,20,109,101,1.8,0,9
2017/1/1209:00,21,328,198,2,0,4
2017/1/1210:00,22,120,113,2.1,0,6
2017/1/1211:00,22,103,116,3.1,0,5
2017/1/1212:00,22,119,34,2.1,0,12
2017/1/1213:00,23,270,261,1.6,0,11
2017/1/1214:00,23,219,213,1.5,0,10
2017/1/1215:00,23,291,293,2.1,0,4
2017/1/1216:00,22,274,174,2,0,13
2017/1/1217:00,21,130,134,1.5,0,12
2017/1/1218:00,21,123,125,2.1,0,16
2017/1/1219:00,21,91,294,1,0,7
2017/1/1220:00,20,253,228,1.3,0,17
2017/1/1221:00,20,127,112,1.3,0,11
2017/1/1222:00,20,113,111,1.8,0,17
